list_name,name,label,info_base,info_admin1,info_admin2,info_admin3
oui_non,oui,Oui,,,,
oui_non,non,Non,,,,
oui_non_na,oui,Oui,,,,
oui_non_na,non,Non,,,,
oui_non_na,non_applicable,Non pertinent / non applicable (le ménage ne pratique pas l'agriculture),,,,
modalite,direct,Face à face,,,,
modalite,telephone,Telephone,,,,
situation_matrimoniale,marie_monogame,Marié - Monogame,,,,
situation_matrimoniale,marie_polygame,Marié - Polygame,,,,
situation_matrimoniale,marie_veuf,Veuf/veuve,,,,
situation_matrimoniale,encouple,"Concubinage (en couple, pas marie)",,,,
situation_matrimoniale,celibataire,Celibataire,,,,
situation_matrimoniale,divorce,Divorcé/e,,,,
chef_profession,agriculteur,Agriculteur,,,,
chef_profession,eleveur,Eleveur,,,,
chef_profession,pecheur_chasseur,Pêcheur / chasseur,,,,
chef_profession,fonctionnaire,Fonctionnaire (sauf professeur),,,,
chef_profession,professeur,Professeur / maître d'école,,,,
chef_profession,etudiant,Etudiant/Elève,,,,
chef_profession,chef,Chef communautaire,,,,
chef_profession,prive,Travailleur du secteur privé,,,,
chef_profession,commercant,Commerçant,,,,
chef_profession,transporteur,Transporteur,,,,
accouche_domicile,rejoindre_centre,Je ne souhaite pas rejoindre une maternité ou centre de santé pour accoucher (pour causes de coutumes / traditions ; je ne pense pas que cela soit nécessaire),,,,
accouche_domicile,nsp,Je ne sais pas / ne souhaite pas répondre,,,,
liste_temps,moins_15mn,Moins de 15 minutes,,,,
liste_temps,15_30mn,Entre 15 et moins 30 minutes,,,,
liste_temps,30mn_1h,Entre 30 minutes et moins d'une heure,,,,
liste_temps,1h_3h,Entre une heure moins de 3 heures,,,,
liste_temps,3h_et_plus,Plus de 3h,,,,
symptome,fievre,Fièvre,,,,
symptome,diarrhee,Diarrhée aigue,,,,
symptome,toux,Toux,,,,
symptome,respiratoire,Difficultés respiratoire,,,,
symptome,maux_tete,Maux de tête chroniques,,,,
symptome,trouble_mentaux,Troubles mentaux,,,,
symptome,autre,Autres (merci de préciser),,,,
symptome,nsp,Je ne sais pas / ne souhaite pas répondre,,,,
soins,maison,"Oui, à la maison",,,,
soins,centre_sante,"Oui, dans un centre de santé",,,,
soins,ailleurs,"Oui, ailleurs",,,,
soins,non,Non,,,,
soins,nsp,Je ne sais pas / ne souhaite pas répondre,,,,
raison_non_service,infra_detruit_catastroph,"Les infrastructures ont été détruites par des catastrophes naturelles (inondation, incendie, etc.)",,,,
raison_non_service,infra_detruit_combat,Les infrastructures ont été détruites durant les combats,,,,
raison_non_service,pas_infra,Il n'y a jamais eu d'infrastructures de santé à proximité,,,,
raison_non_service,pas_medicament,Il n'y a pas de médicaments disponibles,,,,
raison_non_service,pas_travailleur,Il n'y a pas de travailleurs de santé dans la zone,,,,
raison_non_service,insecurite,L'insécurité est trop forte dans la zone,,,,
raison_non_service,infra_distant,Les infrastructures sont trop éloignées,,,,
raison_non_service,pas_finance,Le ménage n'a pas les ressources financières pour s'octroyer des soins médicaux,,,,
raison_non_service,qualite_soins,Le ménage estime que la qualité des soins fournis n'est pas suffisante,,,,
raison_non_service,autre,Autre,,,,
raison_non_service,nsp,Je ne sais pas / ne souhaite pas répondre,,,,
liste_maladie,palu,Paludisme,,,,
liste_maladie,infect_respiratoire,"Infection respiratoire aigue,",,,,
liste_maladie,diarrhee,Maladies diarrhéiques,,,,
liste_maladie,autre,Autre,,,,
liste_maladie,nsp,Je ne sais pas / ne souhaite pas répondre,,,,
cause_deces,accident_travail,Décès suite à un accident de travail,,,,
cause_deces,accident_conflit,Décès suite à un accident lié au conflit armé (conflit / violence),,,,
cause_deces,accident_route,"Décès suite à un accident de la route (accident de voiture, moto, bus, etc.)",,,,
cause_deces,catastrophe_natu,"Décès suite à une catastrophe naturelle (inondation, éboulements de terrain, incendie, etc.)",,,,
cause_deces,en_couche,Décès durant / suite à un accouchement,,,,
cause_deces,morsure,Décès suite à une morsure / piqûre animale / attaque animale (Paludisme / Rage),,,,
cause_deces,diarrhee,"Décès suite à une maladie (diarrhée, liquide ou sanglante)",,,,
cause_deces,problemes_respi,Décès suite à des difficultés respiratoires,,,,
cause_deces,autre_maladie,Décès suite à une maladie (autre),,,,
cause_deces,faim,Décès suite à un manque de nourriture (Famine / Malnutrition),,,,
cause_deces,deces_natu,Causes naturelles de décès (ex. âge),,,,
cause_deces,autre,Autre,,,,
cause_deces,autre,Pas de réponse/ Je ne souhaite pas répondre,,,,
cause_deces,autre,Je ne sais pas,,,,
oui_non_npr,oui,Oui,,,,
oui_non_npr,non,Non,,,,
oui_non_npr,nsp,Je ne sais pas,,,,
oui_non_npr,npr,Je préfère ne pas répondre,,,,
